id,member_id,visited_at,status,respondent,notes,summary,keywords,images,deleted_at,created_at,updated_at,respondents,user_id,created_by,visited_hour
wDeNG1v0vQkf,8BYIV1qkGG8U,2026-04-04,absent,,"{""type"":""doc"",""content"":[{""type"":""paragraph"",""content"":[{""text"":""B-101の1階、黒い玄関がある右側の場所です。お会いできなかったのでお土産を置いてきました。"",""type"":""text""}]}]}",,,,,2026-04-04T12:24:07.219598+00:00,2026-05-05T10:09:40.395+00:00,,70739625-3e2a-4081-b007-e6151bc0d6a8,70739625-3e2a-4081-b007-e6151bc0d6a8,21
YPH2bMoPoORA,lWhZZTbjdOCQ,2026-04-04,met_self,,"{""type"":""doc"",""content"":[{""type"":""paragraph"",""content"":[{""text"":""テスト文章です。"",""type"":""text""}]},{""type"":""paragraph""}]}",,,[],2026-04-05T02:48:06.547+00:00,2026-04-04T14:40:49.529+00:00,2026-04-05T02:48:06.548+00:00,,70739625-3e2a-4081-b007-e6151bc0d6a8,70739625-3e2a-4081-b007-e6151bc0d6a8,
aiF0efMcCSsG,SR496KMjsiVd,2026-04-04,absent,,"{""type"":""doc"",""content"":[{""type"":""paragraph"",""content"":[{""text"":""竹内ホームという施工系のお仕事をされています。玄関先にお土産だけを置いて帰ってきました。"",""type"":""text""}]}]}",,,,,2026-04-04T12:24:08.024278+00:00,2026-05-05T10:09:42.303+00:00,,70739625-3e2a-4081-b007-e6151bc0d6a8,70739625-3e2a-4081-b007-e6151bc0d6a8,21
l_WbKb6SWABB,fLZFRoXtCLbO,2026-04-04,refused,other,"{""type"":""doc"",""content"":[{""type"":""paragraph"",""content"":[{""text"":""ドアをお開けくださいました。「鈴木さんですか」とお伺いしましたが、「違います」とぶっきらぼうに断られました。坊主で髭面の中年男性でした。"",""type"":""text""}]}]}",,,,,2026-04-04T12:24:07.478274+00:00,2026-05-05T10:09:40.969+00:00,"[""other""]",70739625-3e2a-4081-b007-e6151bc0d6a8,70739625-3e2a-4081-b007-e6151bc0d6a8,21
4C1tuJjF9_xh,Tl6cDk1xo5km,2026-04-04,unknown_address,,"{""type"":""doc"",""content"":[{""type"":""paragraph"",""content"":[{""text"":""お家に行こうとしましたが住所がわからず、それっぽい建物はありましたが特定できませんでした。"",""type"":""text""}]}]}",,,,,2026-04-04T12:24:07.633452+00:00,2026-05-05T10:09:42.132+00:00,,70739625-3e2a-4081-b007-e6151bc0d6a8,70739625-3e2a-4081-b007-e6151bc0d6a8,21
OAGwGlPa38h4,7w9wTbzibrUs,2026-04-05,absent,,"{""type"":""doc"",""content"":[{""type"":""paragraph"",""content"":[{""text"":""立派な一軒家のお家でした。"",""type"":""text""}]},{""type"":""paragraph"",""content"":[{""text"":""奥様がご対応くださって、インターホン越しに夫の方はいないというようにお言葉をいただいたので、お土産だけを置いて帰りました。"",""type"":""text""}]}]}",,,,,2026-04-05T06:02:53.172+00:00,2026-05-05T10:09:43.703+00:00,,70739625-3e2a-4081-b007-e6151bc0d6a8,70739625-3e2a-4081-b007-e6151bc0d6a8,15
Hf5LKdb-Tdl_,Y1ddepoAGEFG,2026-04-05,moved,,"{""type"":""doc"",""content"":[{""type"":""paragraph"",""content"":[{""text"":""201のお部屋に行きましたが、転居されていました。"",""type"":""text""}]}]}",,,,,2026-04-05T05:55:59.786+00:00,2026-05-05T10:09:41.252+00:00,,70739625-3e2a-4081-b007-e6151bc0d6a8,70739625-3e2a-4081-b007-e6151bc0d6a8,14
obYnbu1pP7tZ,lWhZZTbjdOCQ,2026-04-05,unknown_address,,,,,,2026-04-04T16:53:46.086+00:00,2026-04-04T16:36:31.216+00:00,2026-04-04T16:53:46.086+00:00,,70739625-3e2a-4081-b007-e6151bc0d6a8,70739625-3e2a-4081-b007-e6151bc0d6a8,
oLaRlvC6nRTV,lWhZZTbjdOCQ,2026-04-05,met_self,,"{""type"":""doc"",""content"":[{""type"":""paragraph"",""content"":[{""text"":""テスト"",""type"":""text""}]},{""type"":""paragraph""}]}",,,"[""https://zzkhmocwscuyydyzqpof.supabase.co/storage/v1/object/public/visit-images/visit-images/WvIgWn7blmAD.jpg""]",2026-04-04T16:53:52.948+00:00,2026-04-04T16:47:03.728+00:00,2026-04-04T16:53:52.948+00:00,,70739625-3e2a-4081-b007-e6151bc0d6a8,70739625-3e2a-4081-b007-e6151bc0d6a8,
9ajkO1UNpOlY,7w9wTbzibrUs,2026-04-05,met_family,family,,,,,2026-04-10T13:17:48.045+00:00,2026-04-05T06:01:40.809+00:00,2026-04-10T13:17:48.045+00:00,"[""family""]",70739625-3e2a-4081-b007-e6151bc0d6a8,70739625-3e2a-4081-b007-e6151bc0d6a8,
